AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_NETAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2024|2|O|CAÑAR|LA TRONCAL|12585,5700|123851,2400|0,0000|84067,6400|33802,3200|0,0000|779,2500|118649,2100|136436,8100
2024|2|M|AZUAY|SAN FERNANDO|3343,9900|606,0000|0,0000|5734,6200|1304,6200|0,0000|0,0000|7039,2400|3949,9900
2024|1|B|TUNGURAHUA|BAÑOS DE AGUA SANTA|883,9300|0,0000|0,0000|767,8900|265,8700|0,0000|0,0000|1033,7600|883,9300
2024|1|E|COTOPAXI|SALCEDO|28583,9300|22985,5800|0,0000|44537,3900|18839,5400|0,0000|7245,4300|70622,3600|51569,5100
2024|1|J|LOJA|SARAGURO|67813,4800|750,0000|0,0000|56948,2900|13477,1400|0,0000|25470,4000|95895,8300|68563,4800
2024|1|L|TUNGURAHUA|PATATE|7446,6400|2539,5700|0,0000|29202,0500|0,0000|0,0000|0,0000|29202,0500|9986,2100
2024|1|H|PICHINCHA|PUERTO QUITO|79335,8400|306002,7300|0,0000|161270,2000|230666,8200|0,0000|90,0000|392027,0200|385338,5700
2024|1|R|PASTAZA|PASTAZA|10602,5200|22122,5500|0,0000|14256,0400|1693,2300|0,0000|0,0000|15949,2700|32725,0700
2024|1|C|AZUAY|PUCARA|0,0000|430,5500|0,0000|0,0000|698,4000|0,0000|0,0000|698,4000|430,5500
2024|1|F|GUAYAS|SAN JACINTO DE YAGUACHI|1131259,0100|2289,0800|0,0000|770349,6600|128448,6200|0,0000|11835,5000|910633,7800|1133548,1000
2024|1|J|LOS RIOS|BUENA FE|117852,9300|44953,9000|0,0000|85818,6500|9190,9200|0,0000|451,4600|95461,0300|162806,8300
2024|1|F|MANABI|MONTECRISTI|668015,7000|55346,8800|0,0000|269071,8500|71458,2000|0,0000|9387,7000|349917,7500|723412,5900
2024|1|H|GALAPAGOS|ISABELA|53195,1500|329989,9600|0,0000|69968,0700|28027,3300|0,0000|12584,3400|110579,7400|383185,1100
2024|1|G|PASTAZA|ARAJUNO|14238,6700|683,3000|0,0000|21123,9900|345,9200|0,0000|0,0000|21469,9100|14921,9700
2024|2|H|TUNGURAHUA|CEVALLOS|9982,1800|380909,7300|0,0000|65665,0200|287700,4000|0,0000|1119,3800|354484,8000|390891,9100
